Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Category,Sources_1,Sources_2,Sources_3
"RUAG espionage",2016-05-23,"Believed to be the work of the Turla group","A threat actor compromised a Swiss defense contractor.",,Switzerland,"Russian Federation",Espionage,"Private sector",https://www.govcert.admin.ch/blog/22/technical-report-about-the-ruag-espionage-case,https://www.theregister.co.uk/2016/05/24/anatomy_of_a_breach_swiss_cert_publishes_analysis_of_ruag_attack/,
"Compromise of Ukrainian banks",2016-12-13,"Believed to be the work of the actors behind Black Energy","A threat actor compromised Ukrainian banks.",,Ukraine,"Russian Federation","Data destruction","Private sector",http://www.welivesecurity.com/2016/12/13/rise-telebots-analyzing-disruptive-killdisk-attacks/,http://www.theregister.co.uk/2016/12/15/ukraine_banks_apt,
"Operation Mermaid",2016-07-07,,"This threat actor is based in the Middle East (possibly Iran) and targets English- and Persian-language organizations. It is alleged to be the same group behind a compromise of the Danish Ministry of Foreign Affairs.",,"Ministry of Foreign Affairs, Iran,",,Espionage,Government,https://ti.360.com/upload/report/file/mryxdgkb20160707en.pdf,,
"Yahoo breach (2016)",2016-12-14,"Same state sponsor as the 2014 breach","A threat actor exploited a vulnerability in Yahoo's account log-in process, allowing it to access user accounts without a password. Approximately thirty-two million accounts were affected.","Criminal charges   https://www.justice.gov/opa/pr/us-charges-russian-fsb-officers-and-their-criminal-conspirators-hacking-yahoo-and-millions",Yahoo,"Russian Federation",Espionage,"Private sector",https://investor.yahoo.net/releasedetail.cfm?ReleaseID=1004285,https://www.justice.gov/opa/pr/us-charges-russian-fsb-officers-and-their-criminal-conspirators-hacking-yahoo-and-millions,https://www.theregister.co.uk/2017/02/16/yahoo_forged_cookie_hack_risk/
"Project Sauron",2016-07-08,"Also known as Strider","This threat actor compromises targets in the Military, telecommunications, and financial sectors in Belgium, China, Iran, Russia, Sweden, and elsewhere.",,"Russia, Belgium, Sweden, Iran, China, Rwanda","United States",Espionage,"Government, Military",https://securelist.com/analysis/publications/75533/faq-the-projectsauron-apt/,https://www.symantec.com/connect/blogs/strider-cyberespionage-group-turns-eye-sauron-targets,https://arstechnica.com/security/2016/08/researchers-crack-open-unusually-advanced-malware-that-hid-for-5-years/
"Compromise of entities involved in the China-Philippines territorial dispute",2016-07-12,,"A threat actor targeted the Department of Justice of the Philippines, the Asia-Pacific Economic Cooperation (APEC), and a major international law firm representing one of the parties in the dispute over the Scarborough Shoal.",,Philippines,China,Espionage,"Government, Private sector",https://www.f-secure.com/documents/996508/1030745/nanhaishu_whitepaper.pdf,,
"A compromise causes a power outage in Kiev, Ukraine",2016-12-20,"Used an evolution of the tools developed by the team behind Black Energy.","A threat actor compromised computer networks that control an electricity substation in the north of the Ukrainian capital, Kiev, causing a power outage. To accomplish its task, the threat actor used a tool known as CrashOverride. ",,Ukrenergo,"Russian Federation",Sabotage,"Private sector",http://www.reuters.com/article/us-ukraine-crisis-cyber-attacks-idUSKBN1491ZF,https://dragos.com/blog/crashoverride/CrashOverride-01.pdf,https://www.wired.com/story/russian-hackers-attack-ukraine
"APT 3",2015-06-23,"Also known as UPS, Gothic Panda, Buckeye, and Boyusec","This threat actor targets and compromises entities in the defense, construction, technology, and transportation sectors. Up until 2015, it was primarily focused on U.S. and UK entities, but it shifted to Hong Kong–based targets afterward. The U.S. Department of Justice indicted three members of this threat actor group in November 2017 for compromising the networks of three U.S. companies.",,"United States, United Kingdom, Hong Kong",China,Espionage,"Private sector",https://www.fireeye.com/blog/threat-research/2015/06/operation-clandestine-wolf-adobe-flash-zero-day.html,http://www.secureworks.com/resources/blog/research/threat-group-0110-targets-manufacturing-and-financial-organizations-via-phishing/,http://www.symantec.com/connect/blogs/buckeye-cyberespionage-group-shifts-gaze-us-hong-kong
"Emissary Panda",2015-08-05,"Also known as TG-3390, APT 27, and TEMP.Hippo. Believed to have been responsible for the compromise of a Mongolian data center.","This threat actor compromises web pages to lure targets for espionage purposes. It focuses on the aerospace, automotive, technology, and energy sectors, primarily in the United States and United Kingdom.",,"United States, United Kingdom, France",China,Espionage,"Government, Private sector",https://www.secureworks.com/research/threat-group-3390-targets-organizations-for-cyberespionage,https://www.erai.com/CustomUploads/ca/wp/2015_12_wp_operation_iron_tiger.pdf,https://www.threatconnect.com/blog/threatconnect-discovers-chinese-apt-activity-in-europe/
"Compromise of TV5 Monde",2015-04-09,"Suspected to be the work of APT 28","In May 2015, threat actors compromised French television network TV5 Monde, disrupting broadcasts for three hours and gaining access to the network’s social media accounts. A group allegedly allied with the self-declared Islamic State and calling itself the Cyber Caliphate initially claimed responsibility for the incident. However, later investigations revealed links to Russian hacking group APT 28.

TV5 Monde is an example of a “false flag” operation, whereby a threat actor tries to mask its identity by leaving clues or attributes that would cause the victim to pin the blame on someone else. The threat actors behind TV5 Monde were successful enough in their flagging to lead French authorities to believe the incident was a terrorist attack. It is unknown why Russia would have conducted a false flag operation in France disguising itself as the Islamic State. 

In October 2018, the UK government announced that this incident was the work of Russian military intelligence.","Denouncement   http://www.thelocal.fr/20150409/frances-tv5-monde-isis-cyberattack-charlie-hebdo","TV5 Monde","Russian Federation",Defacement,"Private sector",https://www.theguardian.com/world/2015/apr/09/french-tv-network-tv5monde-hijacked-by-pro-isis-hackers,http://www.lexpress.fr/actualite/medias/piratage-de-tv5-monde-la-piste-russe_1687673.html,https://www.crowdstrike.com/blog/bears-midst-intrusion-democratic-national-committee/
"Targeting of the government of Thailand",2015-11-24,"Believed to be the work of Winnti Umbrella","A threat actor used a tool called Bookworm to compromise government agencies in Thailand, for the purpose of espionage.",,Thailand,China,Espionage,Government,https://researchcenter.paloaltonetworks.com/2015/11/attack-campaign-on-the-government-of-thailand-delivers-bookworm-trojan/,https://researchcenter.paloaltonetworks.com/2015/11/bookworm-trojan-a-model-of-modular-architecture/,https://401trg.com/burning-umbrella/
"APT 17",2015-05-14,"Also known as Deputy Dog. Believed to be associated with Winnti Umbrella","This threat actor targets U.S. government entities, the defense industrial base, law firms, information technology companies, resource extraction companies, and nongovernmental organizations.",,"United States",China,Espionage,"Government, Private sector, Civil society",https://www2.fireeye.com/rs/fireye/images/APT17_Report.pdf,,
"Rocket Kitten",2015-11-09,"Possibly linked to Saffron Rose","This threat actor targets defense contractors and academic institutions in Israel, European government agencies, and civil society actors. It seeks out material related to diplomacy, defense, security, journalism, and human rights for espionage purposes.",,"Saudi Arabia, Israel, Yemen, Venezuela, Iraq, United Kingdom, Afghanistan, Kuwait, Egypt, United Arab Emirates, Turkey, Syria, Iran, Canada, Jordan","Iran (Islamic Republic of)",Espionage,"Government, Military",http://blog.checkpoint.com/wp-content/uploads/2015/11/rocket-kitten-report.pdf,https://www.trendmicro.com/cloud-content/us/pdfs/security-intelligence/white-papers/wp-the-spy-kittens-are-back.pdf,https://citizenlab.org/2015/08/iran_two_factor_phishing/
"APT 30",2015-04-12,"Also known as Naikon, PLA Unit 78020, Lotus Panda. Possibly responsible for the JadeRAT tool. ","This threat actor uses spear-phishing techniques to target government and private sector agencies in the South China Sea region.",,"India, Thailand, South Korea, Saudi Arabia, Malaysia, United States, Vietnam, Cambodia, Indonesia, Myanmar, China, Laos, Singapore, Phillipines",China,Espionage,"Government, Private sector",https://www2.fireeye.com/rs/fireye/images/rpt-apt30.pdf,https://securelist.com/analysis/publications/69953/the-naikon-apt/,http://cdn2.hubspot.net/hubfs/454298/Project_CAMERASHY_ThreatConnect_Copyright_2015.pdf?t=1443030820943&submissionGuid=81f1c199-859f-41e9-955b-2eec13777720
"Ocean Lotus",2015-05-31,"Also known as APT 32","This threat actor, known to use watering-hole attacks to compromise victims, targets organizations of interest to the Vietnamese government for espionage purposes. Victims have included human rights organizations, research institutes and maritime construction firms in China, and media organizations. Also believed to have been responsible for disclosing confidential Filipino government documents. ",,"China, United States, Philippines, Germany, Vietnam, Association of Southeast Asian Nations, Cambodia, Laos",Vietnam,Espionage,"Government, Private sector, Civil society",https://ti.360.com/upload/report/file/OceanLotus_Report-en-6.2.2.pdf,https://www.fireeye.com/blog/threat-research/2017/05/cyber-espionage-apt32.html,https://www.wired.com/2017/05/close-look-notorious-apt32-hacking-group-action/
"Goblin Panda",2015-06-01,,"This threat actor targets government agencies and entities in the defense and energy sectors in Southeast Asia with an interest in issues related to tensions in the South China Sea.",,Vietnam,China,,"Government, Private sector",https://www.crowdstrike.com/blog/rhetoric-foreshadows-cyber-activity-in-the-south-china-sea/,https://www.crowdstrike.com/blog/meet-crowdstrikes-adversary-of-the-month-for-august-goblin-panda/,
"Duqu 2.0",2015-06-10,"Associated with Duqu. Believed to have been the tool used to compromise Kaspersky Labs.","A threat actor, using a tool dubbed Duqu 2.0, targeted individuals and companies linked to the P5+1 (the five permanent member states of the UN Security Council, plus Germany), which was conducting negotiations on Iran's nuclear program.",,Iran,Israel,Espionage,"Government, Private sector",https://securelist.com/blog/research/70504/the-mystery-of-duqu-2-0-a-sophisticated-cyberespionage-actor-returns/,https://securelist.com/files/2015/06/The_Mystery_of_Duqu_2_0_a_sophisticated_cyberespionage_actor_returns.pdf,http://www.wsj.com/articles/spy-virus-linked-to-israel-targeted-hotels-used-for-iran-nuclear-talks-1433937601
